"","horizon","inf","mean","sup","model","horizon_num","instance"
"1","mape_3m",0.554515576950885,0.55917502753268,0.563834478114475,"Prophet",3,"c5.large"
"2","mape_6m",0.542097560522029,0.544809922550364,0.547522284578699,"Prophet",6,"c5.large"
"3","mape_9m",0.551456126739652,0.552893258691425,0.554330390643198,"Prophet",9,"c5.large"
"4","mape_year",0.536959575715149,0.538069593981043,0.539179612246936,"Prophet",12,"c5.large"
"5","mape_3m",0.92587621945318,0.931667037207542,0.937457854961904,"FFT",3,"c5.large"
"6","mape_6m",0.952643333598914,0.95704102504444,0.961438716489966,"FFT",6,"c5.large"
"7","mape_9m",1.00598679079903,1.00970989270067,1.01343299460232,"FFT",9,"c5.large"
"8","mape_year",0.999663530692684,1.00165808356256,1.00365263643244,"FFT",12,"c5.large"
"9","mape_3m",0.64883714899804,0.658948440867558,0.669059732737077,"XGBoost",3,"c5.large"
"10","mape_6m",0.802433792325705,0.811035628577698,0.81963746482969,"XGBoost",6,"c5.large"
"11","mape_9m",0.920018292287485,0.926090877236334,0.932163462185183,"XGBoost",9,"c5.large"
"12","mape_year",0.927165568403735,0.930785317995096,0.934405067586456,"XGBoost",12,"c5.large"
"13","mape_3m",0.335586868222236,0.337314537558006,0.339042206893775,"Prophet",3,"c5.xlarge"
"14","mape_6m",0.353666225495228,0.355228244293638,0.356790263092048,"Prophet",6,"c5.xlarge"
"15","mape_9m",0.371345761999595,0.372681818896833,0.374017875794071,"Prophet",9,"c5.xlarge"
"16","mape_year",0.389080381699569,0.390085131770427,0.391089881841284,"Prophet",12,"c5.xlarge"
"17","mape_3m",0.412791517862769,0.416866261158002,0.420941004453236,"FFT",3,"c5.xlarge"
"18","mape_6m",0.384078800733413,0.386742845372093,0.389406890010772,"FFT",6,"c5.xlarge"
"19","mape_9m",0.372732409892214,0.374409878467125,0.376087347042035,"FFT",9,"c5.xlarge"
"20","mape_year",0.379192305657619,0.38030359569526,0.381414885732901,"FFT",12,"c5.xlarge"
"21","mape_3m",0.332906116726249,0.338300879520944,0.343695642315639,"XGBoost",3,"c5.xlarge"
"22","mape_6m",0.353530262802424,0.357670486371367,0.361810709940311,"XGBoost",6,"c5.xlarge"
"23","mape_9m",0.360687671256639,0.364537472770584,0.368387274284529,"XGBoost",9,"c5.xlarge"
"24","mape_year",0.368620096509601,0.371405826476428,0.374191556443255,"XGBoost",12,"c5.xlarge"
"25","mape_3m",0.426899546813673,0.431870317307068,0.436841087800464,"Prophet",3,"c5.2xlarge"
"26","mape_6m",0.367917513655501,0.371720641759758,0.375523769864016,"Prophet",6,"c5.2xlarge"
"27","mape_9m",0.33142011096658,0.33403032954876,0.33664054813094,"Prophet",9,"c5.2xlarge"
"28","mape_year",0.310292711635833,0.3122880211298,0.314283330623767,"Prophet",12,"c5.2xlarge"
"29","mape_3m",0.477962784268144,0.481811539939121,0.485660295610098,"FFT",3,"c5.2xlarge"
"30","mape_6m",0.437252995745378,0.439929453619569,0.44260591149376,"FFT",6,"c5.2xlarge"
"31","mape_9m",0.437765762675088,0.439442316610854,0.44111887054662,"FFT",9,"c5.2xlarge"
"32","mape_year",0.434007502825731,0.435079734973248,0.436151967120765,"FFT",12,"c5.2xlarge"
"33","mape_3m",0.319781754715578,0.323848536011747,0.327915317307916,"XGBoost",3,"c5.2xlarge"
"34","mape_6m",0.341676461733796,0.344025518809581,0.346374575885367,"XGBoost",6,"c5.2xlarge"
"35","mape_9m",0.369901839751835,0.371687530156412,0.37347322056099,"XGBoost",9,"c5.2xlarge"
"36","mape_year",0.372448455491182,0.373752510348997,0.375056565206812,"XGBoost",12,"c5.2xlarge"
"37","mape_3m",0.349845560727038,0.352633999777298,0.355422438827557,"Prophet",3,"m5.xlarge"
"38","mape_6m",0.400585633799627,0.403141395941809,0.405697158083991,"Prophet",6,"m5.xlarge"
"39","mape_9m",0.44815665963834,0.450751001594408,0.453345343550477,"Prophet",9,"m5.xlarge"
"40","mape_year",0.482445232486483,0.484680947940519,0.486916663394556,"Prophet",12,"m5.xlarge"
"41","mape_3m",0.494958165035199,0.497789403153383,0.500620641271566,"FFT",3,"m5.xlarge"
"42","mape_6m",0.497896057866568,0.499424281581547,0.500952505296526,"FFT",6,"m5.xlarge"
"43","mape_9m",0.505023082121239,0.505888736353771,0.506754390586302,"FFT",9,"m5.xlarge"
"44","mape_year",0.500691760144927,0.501172722328734,0.501653684512541,"FFT",12,"m5.xlarge"
"45","mape_3m",0.386156651046068,0.393451353792615,0.400746056539162,"XGBoost",3,"m5.xlarge"
"46","mape_6m",0.476815640689936,0.484105813897652,0.491395987105369,"XGBoost",6,"m5.xlarge"
"47","mape_9m",0.472634940529525,0.477135063997958,0.48163518746639,"XGBoost",9,"m5.xlarge"
"48","mape_year",0.475841678696275,0.478851966475301,0.481862254254327,"XGBoost",12,"m5.xlarge"
